,name,era,story,asked,size,distance,mass,mult,si,di,credits,credch,population,change,iq,iqch,pdensity,oxygen,co2,pollute,water,land,temp,biomes,farms,factory,fuel,mine,ai,satellite,dyson
825646165294579723,dev,1.0,0.0,0.0,2.0,1.0,2.0,1.0,92.4,0.0,6216.0,0.0,-332658.0,0.0,21.4296354357936,0.0,3.0,25.0,0.0,0.0,60.0,40.0,11.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825648152324341760,now-in-orbit,1.0,0.0,0.0,1.0,3.0,1.0,0.95,96.25,0.0,6356.0,0.0,-1905420.0,0.0,21.4296354357936,0.0,3.0,25.0,0.0,0.0,50.0,50.0,14.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825648558429962260,pheonix,5.0,0.0,0.0,3.0,1.0,3.0,1.05,80.85,261.8,20095.0,0.0,1290017.0,0.0,215.6235281078669,0.0,22.0,36.8,-0.2000000000000001,92.0,50.8,70.2,2.3000000000000007,62.0,10.0,6.0,1.0,2.0,2.0,0.0,0.0
825649663956484116,space-riders,3.0,0.0,0.0,2.0,3.0,2.0,1.0,92.4,204.1,5102.0,0.0,-437916530.0,0.0,180.0,0.0,9.0,51.1,-3.0,53.0,45.1,125.4,1.2999999999999998,87.0,9.0,2.0,2.0,5.0,0.0,0.0,0.0
825650068622409728,v-a-p,2.0,0.0,0.0,3.0,2.0,3.0,1.05,80.85,75.5,54814.0,0.0,-9041412.0,0.0,54.325136308100525,0.0,6.0,33.5,-1.65,-13.0,66.0,56.0,11.699999999999996,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
825650203298103306,h-k-w,2.0,0.0,0.0,3.0,2.0,3.0,1.05,80.85,142.0,337.0,0.0,2252813.0,0.0,110.88,0.0,5.0,38.0,-3.9,-13.0,55.0,56.0,1.6999999999999964,70.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
825650345727623189,pulverizers,4.0,0.0,0.0,2.0,1.0,2.0,1.0,92.4,202.0,-87001.0,0.0,-1839130.0,0.0,188.062851466304,0.0,19.0,62.0,-10.7,-39.0,61.0,118.0,-9.899999999999997,96.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
825650587483897856,galaxy-busters,2.0,0.0,0.0,1.0,3.0,1.0,0.95,96.25,94.0,39063.0,0.0,-140013535.0,0.0,59.29,0.0,6.0,30.0,2.1,-23.0,29.0,96.0,7.700000000000001,78.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
825650663497138206,moon-walkers,2.0,0.0,0.0,3.0,1.0,3.0,1.05,80.85,110.0,559.0,0.0,-4713271.0,0.0,74.72,0.0,5.0,31.5,-0.2499999999999997,-15.0,54.0,60.0,2.5000000000000018,61.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
825650764319424553,mangalyaan,2.0,0.0,0.0,2.0,1.0,2.0,1.0,92.4,174.5,6839.0,0.0,-87363199.0,0.0,149.45,0.0,6.0,49.0,-3.2,-44.0,40.0,128.0,-5.4,84.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
